https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1619046000,2021-04-21 23:00:00,BTC/USDT,54012.05935754,54193.14235529,53610.00000001,53892.67237251,1020033.10031713,18.95043087
1619044200,2021-04-21 22:30:00,BTC/USDT,54444.0,54537.62542325,53775.0,53987.08468498,1850372.79127318,34.21971811
1619042400,2021-04-21 22:00:00,BTC/USDT,54752.05170376,55008.27319934,54410.0,54448.82387694,821445.39981859,15.05319469
1619040600,2021-04-21 21:30:00,BTC/USDT,54934.59852099,55183.00034292,54752.05170377,54752.05170377,383468.10722085,6.98415448
1619038800,2021-04-21 21:00:00,BTC/USDT,54965.74169855,55065.02016687,54673.03317802,54913.0,594389.17378279,10.83712182
1619037000,2021-04-21 20:30:00,BTC/USDT,55027.84758251,55273.09640105,54772.63771945,54945.94962693,1071793.13937965,19.50998854
1619035200,2021-04-21 20:00:00,BTC/USDT,55446.2599811,55446.2599811,54943.49594949,55011.9436002,724494.86674736,13.15972164
1619033400,2021-04-21 19:30:00,BTC/USDT,55550.0,55696.20253164,55443.05133708,55474.69465484,377924.34429164,6.80212288
1619031600,2021-04-21 19:00:00,BTC/USDT,55340.43908032,55592.09107909,55314.67197655,55546.19018312,290374.37939743,5.2335093
1619029800,2021-04-21 18:30:00,BTC/USDT,55432.54637015,55480.03216824,55142.10981038,55294.73432838,494770.42836317,8.94170639
1619028000,2021-04-21 18:00:00,BTC/USDT,55534.3018847,55592.0,55308.4917259,55427.57207351,369308.74470387,6.65661077
1619026200,2021-04-21 17:30:00,BTC/USDT,55657.6821313,55738.46882614,55420.0,55530.29650526,346195.88718219,6.23462976
1619024400,2021-04-21 17:00:00,BTC/USDT,55738.36610671,55800.96606974,55562.29770367,55658.98672758,588206.26435757,10.56036502
1619022600,2021-04-21 16:30:00,BTC/USDT,56000.0,56000.0,55623.28590191,55750.19981841,914907.18834288,16.40458297
1619020800,2021-04-21 16:00:00,BTC/USDT,56149.17405162,56317.53330222,55990.52134753,56018.50786883,1508023.88411559,26.83080986
1619019000,2021-04-21 15:30:00,BTC/USDT,55999.40508423,56215.74684681,55833.80504598,56140.21557323,1287583.7167941,22.99040201
1619017200,2021-04-21 15:00:00,BTC/USDT,56171.99999999,56332.19857885,55942.29136447,56002.20481947,1056638.81602051,18.81574713
1619015400,2021-04-21 14:30:00,BTC/USDT,55557.63140478,56300.0,55557.63140478,56161.61559773,1948390.12354648,34.73730436
1619013600,2021-04-21 14:00:00,BTC/USDT,55569.87107163,55621.30760824,55232.4414304,55554.89485493,476906.44346328,8.60161879
1619011800,2021-04-21 13:30:00,BTC/USDT,55456.74822943,55669.94954168,55420.95720788,55572.54856542,818777.79038812,14.74309918
1619010000,2021-04-21 13:00:00,BTC/USDT,55429.3732705,55500.0,55304.0,55447.99999999,705775.87697238,12.74006735
1619008200,2021-04-21 12:30:00,BTC/USDT,55261.35529917,55522.19450768,55159.68812452,55423.32895065,624613.19560185,11.28286265
1619006400,2021-04-21 12:00:00,BTC/USDT,54545.94569131,55319.80639172,54319.45141954,55276.70553641,1411157.96042185,25.71063805
1619004600,2021-04-21 11:30:00,BTC/USDT,54584.53290892,54804.8473888,54281.05898709,54563.14948189,1620959.99104822,29.70863637
1619002800,2021-04-21 11:00:00,BTC/USDT,54911.0993492,55173.45740117,54537.0,54575.32764245,1538731.51544544,28.02430173
